code,size,repeat,batchId,requestSeconds,approvalToIssuedSeconds,endToEndSeconds,secondsPerCertificate,throughputCertificatesPerSecond,successRatePercent,issued,failed,transactionCount,uniqueCertificateIds,blockDelta,confirmations,cpuAveragePercent,cpuMaxPercent,memoryUsedAverageMb,memoryUsedMaxMb,backendRssAverageMb,backendRssMaxMb,passed
official-20260912085122-n10-r1,10,1,316785af-eca5-4a8a-bb9c-1d9a724eaa80,0.065,34.45,34.541,3.4450000000000003,0.29027576197387517,100,10,0,1,10,1,1,6.787276647624542,14.893617021276595,2547.4333767361113,2586.58984375,124.27571614583333,124.9296875,True
official-20260912085122-n10-r2,10,2,60ca78e4-e1f8-4887-a362-e82202662a69,0.05,32.406,32.475,3.2405999999999997,0.3085848299697587,100,10,0,1,10,1,1,7.3049021891401535,18.14214463840399,2566.5785845588234,2602.0,125.36374080882354,125.90625,True
official-20260912085122-n10-r3,10,3,cb7c8b31-8edd-42c7-bc7f-247cf7904cba,0.038,30.412,30.471,3.0412,0.3288175720110483,100,10,0,1,10,1,1,7.619303037500645,14.893617021276595,2569.1610107421875,2609.48046875,126.343505859375,127.33984375,True
official-20260912085122-n100-r1,100,1,6a7b05a8-0775-4802-8315-482943168ea8,0.11,38.794,38.923,0.38793999999999995,2.5777182038459556,100,100,0,1,100,1,1,21.640179444795276,81.35696821515893,2881.57470703125,3123.11328125,134.29287109375,136.7265625,True
official-20260912085122-n100-r2,100,2,e02a1f68-3019-4316-886e-a4ab15d4129c,0.127,38.841,38.993,0.38841000000000003,2.5745990062047834,100,100,0,1,100,1,1,22.013131560117607,81.3300793166565,2887.08916015625,3112.55078125,137.20791015625,138.3203125,True
official-20260912085122-n100-r3,100,3,d1e728c6-8b21-4269-aa77-c8619e39c444,0.12,40.965,41.111,0.40965,2.4411082631514707,100,100,0,1,100,1,1,19.943935587601185,73.19651741293532,2864.0114462209303,3154.58984375,132.01535247093022,139.18359375,True
official-20260912085122-n500-r1,500,1,97f83da2-8f51-4d06-ba49-8c27aa81870a,0.431,129.673,130.128,0.259346,3.855852798963547,100,500,0,1,500,1,1,31.09754057946128,85.21472392638037,3115.9038529829545,3507.84375,152.54299834280303,160.1015625,True
official-20260912085122-n500-r2,500,2,0a5bcffb-fec2-4693-a89e-63d1279b01bc,0.353,123.85,124.223,0.24769999999999998,4.037141703673799,100,500,0,1,500,1,1,33.58761488029736,85.16516516516516,3153.142640128968,3535.05078125,161.2606956845238,163.94921875,True
official-20260912085122-n500-r3,500,3,2162cf43-019c-4462-8c31-2cb118877bf1,0.359,127.889,128.274,0.255778,3.9096403912768105,100,500,0,1,500,1,1,30.54348801044758,76.52329749103943,3164.4916466346153,3550.46875,165.31908052884614,167.421875,True
